timestamp_ms,EMG_Quad_mV,EMG_Ham_mV,EMG_Calf_mV,ACC_Quad_X_g,ACC_Quad_Y_g,ACC_Quad_Z_g,GYR_Quad_X_dps,GYR_Quad_Y_dps,GYR_Quad_Z_dps,Pitch_Quad_deg,Roll_Quad_deg,ACC_Ham_X_g,ACC_Ham_Y_g,ACC_Ham_Z_g,GYR_Ham_X_dps,GYR_Ham_Y_dps,GYR_Ham_Z_dps,Pitch_Ham_deg,Roll_Ham_deg,ACC_Calf_X_g,ACC_Calf_Y_g,ACC_Calf_Z_g,GYR_Calf_X_dps,GYR_Calf_Y_dps,GYR_Calf_Z_dps,Pitch_Calf_deg,Roll_Calf_deg,Angle_Quad_Ham_deg,Angle_Quad_Calf_deg,Angle_Ham_Calf_deg
5,2169.38,1998.53,1950.99,0.0413,0.0403,1.2273,-0.005,-0.755,0.124,-2.25,1.86,0.1624,-0.6121,0.7996,-1.810,-0.348,-0.211,-10.76,-36.59,0.9008,0.0952,0.4103,-2.882,-9.110,13.220,-64.85,13.55,0.14,-0.21,-0.36
20,1611.72,1469.89,1517.44,0.0405,0.0469,1.1941,-0.112,-0.480,-0.457,-2.25,1.86,0.2048,-0.5918,0.8164,1.518,-4.348,-2.684,-10.84,-36.56,0.9512,0.0221,0.3678,-1.676,-6.804,9.510,-65.03,13.33,0.27,-0.43,-0.70
35,1104.84,1001.68,1095.97,0.0554,0.0417,1.2095,-0.005,0.222,0.383,-2.26,1.87,0.2051,-0.5928,0.7932,-3.871,1.317,1.148,-10.84,-36.62,0.8734,0.0298,0.3667,0.217,-2.453,1.296,-65.11,13.16,0.39,-0.63,-1.02
60,1923.59,2020.29,1897.00,0.0532,0.0425,1.1968,-0.066,-0.419,-0.716,-2.27,1.87,0.1882,-0.5916,0.7864,5.091,0.797,-0.699,-10.82,-36.50,0.8940,0.0552,0.3516,3.194,6.814,-7.956,-65.01,13.15,0.50,-0.81,-1.31
74,2370.84,2282.20,2146.01,0.0457,0.0552,1.1887,0.132,-0.099,0.353,-2.27,1.88,0.1968,-0.5652,0.8174,6.556,-1.035,-1.936,-10.84,-36.37,0.8944,0.1102,0.4028,0.461,8.524,-10.490,-64.88,13.20,0.61,-0.97,-1.57
89,2200.81,1998.53,1970.33,0.0469,0.0449,1.2048,-0.082,-0.190,-0.105,-2.27,1.89,0.2007,-0.5845,0.8252,-4.406,-1.004,0.293,-10.86,-36.41,0.9563,0.1205,0.4263,4.766,9.074,-10.230,-64.76,13.32,0.70,-1.11,-1.81
113,796.19,1016.19,1046.01,0.0513,0.0371,1.2012,-0.036,0.344,-0.182,-2.27,1.89,0.1885,-0.6182,0.7756,-5.459,-1.187,0.675,-10.89,-36.59,0.9521,0.1802,0.4774,2.400,1.516,-3.605,-64.66,13.52,0.79,-1.23,-2.02
128,1302.27,1520.66,1468.28,0.0513,0.0383,1.2039,0.086,0.131,-0.136,-2.27,1.89,0.2007,-0.5991,0.7964,5.503,-0.027,-1.279,-10.90,-36.52,0.9169,0.1932,0.4797,-1.951,-0.301,0.273,-64.59,13.67,0.87,-1.34,-2.21
143,2004.18,2081.54,1960.66,0.0464,0.0381,1.1985,-0.036,0.421,-0.090,-2.26,1.88,0.1992,-0.5835,0.8140,6.862,2.156,-1.172,-10.88,-36.40,0.9470,0.1772,0.4637,-2.119,-7.568,7.159,-64.65,13.78,0.94,-1.45,-2.39
168,909.82,865.49,992.82,0.0422,0.0281,1.1917,-0.082,0.085,-0.014,-2.26,1.87,0.1704,-0.5923,0.7910,-3.367,0.752,1.591,-10.84,-36.49,0.9161,0.1273,0.4131,-4.485,-9.491,11.770,-64.88,13.74,1.01,-1.56,-2.57
182,644.69,779.27,890.48,0.0469,0.0278,1.1968,-0.127,-0.053,-0.075,-2.26,1.86,0.1819,-0.5967,0.7932,-4.070,-4.073,-0.638,-10.89,-36.56,0.9095,0.0642,0.3599,-1.631,-10.545,11.586,-65.10,13.64,1.08,-1.68,-2.76
197,773.63,1031.50,1070.18,0.0398,0.0315,1.1855,-0.021,-0.266,0.185,-2.25,1.85,0.1929,-0.6003,0.7915,-3.764,-1.783,-0.180,-10.91,-36.62,0.9055,0.0330,0.3438,-2.608,-4.178,6.075,-65.24,13.44,1.13,-1.81,-2.94
222,2137.95,1894.58,1869.60,0.0515,0.0388,1.2000,0.025,-0.037,0.078,-2.26,1.85,0.1831,-0.6008,0.7852,4.648,1.194,-0.928,-10.88,-36.53,0.9196,0.0188,0.3300,1.224,4.722,-4.353,-65.22,13.27,1.19,-1.92,-3.11
236,1385.27,1237.00,1336.12,0.0469,0.0383,1.2026,-0.005,-0.389,0.185,-2.26,1.85,0.1843,-0.5876,0.8125,6.175,0.385,-1.325,-10.86,-36.42,0.8958,0.0615,0.3735,2.782,8.081,-9.314,-65.15,13.23,1.24,-2.02,-3.27
251,872.75,853.41,997.66,0.0464,0.0342,1.2009,0.025,-0.190,-0.289,-2.27,1.85,0.1863,-0.5815,0.8164,-1.413,-0.180,0.049,-10.86,-36.43,0.9347,0.0861,0.3986,3.301,10.280,-11.543,-65.02,13.26,1.29,-2.11,-3.40
276,2170.18,2194.36,2016.26,0.0493,0.0408,1.1980,-0.021,-0.053,-0.044,-2.27,1.85,0.1917,-0.6021,0.7839,-4.268,-1.523,0.721,-10.90,-36.55,0.9374,0.1697,0.4633,2.889,5.669,-8.200,-64.83,13.46,1.34,-2.17,-3.51
290,2566.67,2332.97,2179.85,0.0505,0.0420,1.1990,-0.036,0.008,-0.243,-2.27,1.85,0.1973,-0.5918,0.7930,2.327,0.080,-0.974,-10.90,-36.52,0.9285,0.1971,0.4780,0.354,3.409,-4.582,-64.70,13.65,1.38,-2.22,-3.60
305,2197.58,1930.04,1896.19,0.0442,0.0444,1.2014,-0.021,0.069,0.001,-2.27,1.86,0.1907,-0.5823,0.8022,4.694,1.988,-0.348,-10.87,-36.44,0.9268,0.2018,0.4852,-1.218,-3.858,3.724,-64.67,13.81,1.42,-2.27,-3.69
330,734.95,1018.61,1077.44,0.0474,0.0405,1.2029,-0.005,0.008,-0.014,-2.27,1.86,0.1843,-0.5806,0.8027,-0.971,-0.577,0.278,-10.88,-36.46,0.9180,0.1538,0.4424,-3.875,-8.148,11.159,-64.84,13.82,1.45,-2.32,-3.78
344,1412.67,1646.37,1585.93,0.0464,0.0376,1.1980,0.040,0.069,-0.105,-2.26,1.86,0.1941,-0.5901,0.8069,-5.673,-2.225,0.476,-10.92,-36.53,0.9209,0.0876,0.3972,-2.455,-10.911,12.548,-65.02,13.76,1.49,-2.38,-3.87
369,1276.48,1153.19,1263.59,0.0471,0.0422,1.1987,-0.051,-0.114,-0.136,-2.27,1.86,0.1887,-0.6047,0.7856,0.266,0.706,-0.104,-10.90,-36.55,0.8978,0.0341,0.3575,-1.646,-6.270,6.548,-65.23,13.55,1.52,-2.46,-3.97
384,713.19,777.66,940.44,0.0461,0.0444,1.1985,0.010,-0.160,0.047,-2.27,1.86,0.1868,-0.5913,0.7969,6.663,0.996,-1.356,-10.88,-36.45,0.8978,0.0244,0.3336,-0.058,0.096,-0.765,-65.32,13.36,1.55,-2.53,-4.08
398,554.43,753.48,898.53,0.0444,0.0408,1.1960,0.040,-0.205,0.124,-2.27,1.87,0.1921,-0.5820,0.8125,3.365,0.782,-0.684,-10.87,-36.39,0.9017,0.0428,0.3529,1.698,4.783,-5.742,-65.31,13.26,1.57,-2.60,-4.18
423,2573.92,2269.30,2144.40,0.0413,0.0364,1.1926,-0.082,-0.190,-0.060,-2.27,1.86,0.1843,-0.5967,0.7878,-6.238,-1.523,0.889,-10.90,-36.55,0.9181,0.1071,0.4086,2.354,10.585,-11.116,-65.06,13.35,1.60,-2.65,-4.25
438,1910.70,1681.03,1689.08,0.0356,0.0291,1.1924,-0.097,-0.282,0.032,-2.26,1.85,0.1809,-0.6099,0.7998,-2.528,-2.302,-0.119,-10.92,-36.61,0.9182,0.1451,0.4431,3.209,7.196,-9.040,-64.91,13.49,1.62,-2.68,-4.30
462,886.45,1237.00,1233.77,0.0483,0.0352,1.2041,-0.036,-0.358,-0.090,-2.27,1.85,0.1909,-0.5994,0.8022,2.999,2.370,-0.577,-10.86,-36.54,0.9265,0.1937,0.4822,1.148,0.417,-2.078,-64.82,13.68,1.64,-2.70,-4.35
477,1765.64,1907.47,1795.46,0.0542,0.0342,1.2097,-0.127,-0.312,-0.426,-2.28,1.84,0.1814,-0.5906,0.8030,2.083,1.576,-0.195,-10.82,-36.50,0.9332,0.1757,0.4540,-1.524,-4.163,3.800,-64.83,13.81,1.67,-2.73,-4.40
492,2561.83,2388.57,2179.05,0.0522,0.0381,1.2000,-0.127,-0.282,0.017,-2.29,1.84,0.1914,-0.5994,0.8018,-0.558,-2.042,-0.821,-10.85,-36.52,0.9310,0.1614,0.4384,-3.860,-6.957,7.479,-64.90,13.88,1.69,-2.75,-4.44
516,566.52,707.55,871.14,0.0520,0.0378,1.1958,0.010,0.161,0.032,-2.29,1.84,0.1934,-0.6040,0.7964,-6.589,0.171,1.225,-10.85,-36.69,0.9238,0.0892,0.3861,-2.424,-7.384,9.220,-65.12,13.81,1.71,-2.79,-4.50
