timestamp_ms,EMG_Quad_mV,EMG_Ham_mV,EMG_Calf_mV,ACC_Quad_X_g,ACC_Quad_Y_g,ACC_Quad_Z_g,GYR_Quad_X_dps,GYR_Quad_Y_dps,GYR_Quad_Z_dps,Pitch_Quad_deg,Roll_Quad_deg,ACC_Ham_X_g,ACC_Ham_Y_g,ACC_Ham_Z_g,GYR_Ham_X_dps,GYR_Ham_Y_dps,GYR_Ham_Z_dps,Pitch_Ham_deg,Roll_Ham_deg,ACC_Calf_X_g,ACC_Calf_Y_g,ACC_Calf_Z_g,GYR_Calf_X_dps,GYR_Calf_Y_dps,GYR_Calf_Z_dps,Pitch_Calf_deg,Roll_Calf_deg,Angle_Quad_Ham_deg,Angle_Quad_Calf_deg,Angle_Ham_Calf_deg
9,3300.00,3300.00,3300.00,-0.2720,0.8955,0.5806,-3.187,1.651,-0.384,17.41,55.23,0.1145,-0.7878,0.6094,-5.399,-0.082,0.598,-5.91,-53.18,0.0000,0.0000,0.0000,-0.192,-0.455,1.926,-0.23,-0.09,0.12,-1.34,-1.46
23,3300.00,3300.00,3300.00,-0.2778,0.8945,0.5815,-2.546,1.895,0.593,17.38,55.23,0.1082,-0.7876,0.6099,-6.421,1.125,0.186,-5.90,-53.26,0.0000,0.0000,0.0000,-0.192,-0.455,1.926,-0.23,-0.10,0.23,-2.59,-2.83
38,3300.00,3300.00,3300.00,-0.2739,0.9038,0.5781,-3.156,1.758,1.036,17.34,55.23,0.1128,-0.7847,0.6140,-6.116,1.674,-0.211,-5.88,-53.32,0.0000,0.0000,0.0000,-0.192,-0.455,1.926,-0.23,-0.10,0.34,-3.75,-4.09
62,3300.00,3300.00,3300.00,-0.2839,0.8945,0.5837,-1.248,-0.059,0.257,17.29,55.23,0.1069,-0.7827,0.6204,-5.078,0.926,0.323,-5.86,-53.41,0.0000,0.0000,0.0000,-0.192,-0.455,1.926,-0.24,-0.10,0.45,-4.82,-5.27
77,3300.00,3300.00,3300.00,-0.2849,0.8948,0.5852,-1.584,0.063,-0.964,17.25,55.24,0.1067,-0.7917,0.6223,-4.024,1.201,0.140,-5.85,-53.43,0.0000,0.0000,0.0000,-0.192,-0.455,1.926,-0.24,-0.10,0.55,-5.82,-6.37
91,3300.00,3300.00,3300.00,-0.2905,0.8906,0.5984,-3.004,-1.601,-1.453,17.18,55.21,0.0986,-0.7891,0.6230,-4.024,1.277,0.110,-5.83,-53.46,0.0000,0.0000,0.0000,-0.192,-0.455,1.926,-0.24,-0.10,0.66,-6.74,-7.40
116,3300.00,3300.00,3300.00,-0.2834,0.8911,0.5962,-4.653,-2.502,-0.918,17.07,55.12,0.0959,-0.7825,0.6121,-4.040,2.407,-1.005,-5.76,-53.52,0.0000,0.0000,0.0000,-0.192,-0.455,1.926,-0.25,-0.10,0.76,-7.59,-8.36
130,3300.00,3300.00,3300.00,-0.2856,0.8833,0.5789,-2.637,-1.540,-0.216,17.01,55.12,0.0884,-0.7812,0.6128,-5.551,3.293,-1.326,-5.70,-53.57,0.0000,0.0000,0.0000,-0.192,-0.455,1.926,-0.25,-0.10,0.87,-8.38,-9.25
155,3300.00,3300.00,3300.00,-0.2854,0.8792,0.5898,-2.027,2.063,-0.812,17.02,55.09,0.0828,-0.7891,0.6248,-5.261,2.102,-0.226,-5.63,-53.66,0.0000,0.0000,0.0000,-0.192,-0.455,1.926,-0.25,-0.11,0.98,-9.11,-10.09
169,3300.00,3300.00,3300.00,-0.2881,0.8757,0.5974,-1.187,2.384,-1.071,17.02,55.08,0.0837,-0.7915,0.6140,-4.666,1.796,-1.081,-5.59,-53.69,0.0000,0.0000,0.0000,-0.192,-0.455,1.926,-0.25,-0.11,1.08,-9.79,-10.87
